country,population
England,56489800
Scotland,5463300
Northern Ireland,1903100
Wales,3267501
Sahrawi Arab Democratic Republic,612000
Canary Islands,	2172944
Guadeloupe,383559
Zanzibar,1889773
Bali,4415100
Azores,236440
French Guiana,301099
Madeira,250769
Somaliland,4500000
Republic of Artsakh,120000
Sardinia,1628384
Kaliningrad Oblast,1029966
Martinique,361225
Java,151600000
Corsica,351255
European Union,448387872
Sumatra,59977300
Sicily,4969147
Mayotte,310022
R̩union,873102
Akrotiri and Dhekelia,18195
Svalbard,2530
Hawaii,1455271
Alaska,736081
Bougainville,249358
Jeju,678324
