,Country / Dependency,Population,"% of world",Date,"Source (official or from the United Nations)", –,World,"8,053,702,000",100%,13 Aug 2023,UN projection,
1,China,"1,411,750,000",17.5%,31 Dec 2022,Official estimate,
2,India,"1,392,329,000",17.3%,1 Jul 2023,Official projection,
3,United States,"335,236,000",4.2%,13 Aug 2023,National population clock,
4,Indonesia,"277,749,853",3.4%,31 Dec 2022,Official estimate,
5,Pakistan,"220,425,254",2.7%,1 Jul 2020,Official projection,
6,Nigeria,"216,783,400",2.7%,21 Mar 2022,Official projection,
7,Brazil,"203,062,512",2.5%,1 Aug 2022,2022 census result,
8,Bangladesh,"169,828,911",2.1%,15 Jun 2022,2022 census result,
9,Russia,"146,424,729",1.8%,1 Jan 2023,Official estimate,
10,Mexico,"129,035,733",1.6%,31 Mar 2023,National quarterly estimate,
11,Japan,"124,560,000",1.5%,1 Jul 2023,Official estimate,
12,Philippines,"110,672,000",1.4%,13 Aug 2023,National population clock,
13,Ethiopia,"105,163,988",1.3%,1 Jul 2022,National annual projection,
14,Egypt,"104,462,545",1.3%,1 Jan 2023,Official estimate,
15,Vietnam,"100,000,000",1.2%,Apr 2023,Official estimate,
16,DR Congo,"95,370,000",1.2%,1 Jul 2019,Official figure,
17,Turkey,"85,279,553",1.1%,31 Dec 2022,Official estimate,
18,Iran,"85,207,200",1.1%,13 Aug 2023,National population clock,
19,Germany,"84,432,670",1.0%,31 Mar 2023,National quarterly estimate,
20,Thailand,"68,263,022",0.8%,1 Jul 2021,Official estimate,
21,France,"68,128,000",0.8%,1 Jul 2023,Monthly national estimate,
22,United Kingdom,"67,026,292",0.8%,30 Jun 2021,Official estimate,
23,Tanzania,"61,741,120",0.8%,23 Aug 2022,2022 census result,
24,South Africa,"60,604,992",0.8%,1 Jul 2022,Official estimate,
25,Italy,"58,788,924",0.7%,30 Apr 2023,Monthly national estimate,
26,Myanmar,"55,770,232",0.7%,1 Jul 2022,National annual projection,
27,Colombia,"52,215,503",0.6%,30 Jun 2023,Official projection,
28,Kenya,"51,526,000",0.6%,1 Jan 2023,Official projection,
29,South Korea,"51,439,038",0.6%,31 Dec 2022,Official estimate,
30,Spain,"48,345,223",0.6%,1 Jul 2023,Official estimate,
31,Argentina,"46,044,703",0.6%,18 May 2022,2022 census result,
32,Algeria,"45,400,000",0.6%,1 Jan 2022,Official estimate,
33,Iraq,"43,324,000",0.5%,1 Jul 2023,Official estimate,
34,Uganda,"42,885,900",0.5%,1 Jul 2021,Official projection,
35,Sudan,"41,984,500",0.5%,1 Jul 2018,Official projection,
36,Ukraine,"41,130,432",0.5%,1 Feb 2022,National monthly estimate,
37,Canada,"40,238,600",0.5%,13 Aug 2023,National population clock,
38,Poland,"37,706,000",0.5%,31 May 2023,National monthly estimate,
39,Morocco,"37,063,000",0.5%,13 Aug 2023,National population clock,
40,Uzbekistan,"36,197,788",0.4%,1 Apr 2023,National quarterly estimate,
41,Afghanistan,"34,262,840",0.4%,1 Jan 2023,Official estimate,
42,Peru,"33,396,698",0.4%,1 Jul 2022,National annual projection,
43,Angola,"33,086,278",0.4%,30 Jun 2022,National annual projection,
44,Malaysia,"32,703,700",0.4%,13 Aug 2023,National population clock,
45,Mozambique,"32,419,747",0.4%,1 Jul 2022,National annual projection,
46,Saudi Arabia,"32,175,224",0.4%,10 May 2022,2022 census result,
47,Yemen,"31,890,000",0.4%,1 Jul 2022,Official estimate,
48,Ghana,"30,832,019",0.4%,27 Jun 2021,2021 census result,
49,Ivory Coast,"29,389,150",0.4%,14 Dec 2021,2021 census result,
50,Nepal,"29,164,578",0.4%,25 Nov 2021,2021 census result,
51,Venezuela,"28,302,000",0.4%,30 Jun 2019,Official projection,
52,Madagascar,"26,923,353",0.3%,1 Jul 2021,National annual projection,
53,Australia,"26,683,000",0.3%,13 Aug 2023,National population clock,
54,North Korea,"25,660,000",0.3%,1 Jul 2021,National annual projection,
55,Cameroon,"24,348,251",0.3%,1 Jul 2019,National annual projection,
56,Niger,"24,112,753",0.3%,1 Jul 2021,National annual projection,
–,Taiwan,"23,373,283",0.3%,30 Jun 2023,Official estimate,
57,Mali,"23,293,699",0.3%,1 Jul 2023,UN projection,
58,Syria,"22,923,000",0.3%,1 Jul 2021,Official estimate,
59,Burkina Faso,"22,185,654",0.3%,1 Jul 2022,National projection,
60,Sri Lanka,"22,181,000",0.3%,1 Jul 2022,Official estimate,
61,Malawi,"21,507,723",0.3%,1 Jul 2022,National annual projection,
62,Chile,"19,960,889",0.2%,30 Jun 2023,National annual projection,
63,Kazakhstan,"19,899,377",0.2%,1 Jul 2023,National quarterly estimate,
64,Zambia,"19,610,769",0.2%,14 Sep 2022,2022 census result,
65,Romania,"19,053,815",0.2%,17 Jul 2022,2022 census result,
66,Ecuador,"18,347,000",0.2%,13 Aug 2023,National population clock,
67,Somalia,"18,143,379",0.2%,1 Jul 2023,UN projection,
68,Netherlands,"17,896,000",0.2%,13 Aug 2023,National population clock,
69,Senegal,"17,223,497",0.2%,1 Jul 2021,National annual projection,
70,Guatemala,"17,109,746",0.2%,1 Jul 2021,National annual projection,
71,Chad,"16,818,391",0.2%,1 Jul 2021,National annual projection,
72,Cambodia,"15,552,211",0.2%,3 Mar 2019,2019 census result,
73,Zimbabwe,"15,178,979",0.2%,20 Apr 2022,2022 census result,
74,Guinea,"13,261,638",0.2%,1 Jul 2022,National annual projection,
75,South Sudan,"13,249,924",0.2%,1 Jul 2020,National annual projection,
76,Rwanda,"13,246,394",0.2%,15 Aug 2022,2022 census result
77,Burundi,"12,837,740",0.2%,1 Jul 2022,National annual projection,
78,Benin,"12,606,998",0.2%,1 Jul 2023,National annual projection,
79,Bolivia,"12,006,031",0.1%,1 Jul 2022,National annual projection,
80,Tunisia,"11,803,588",0.1%,1 Jan 2022,National estimate,
81,Papua New Guinea,"11,781,559",0.1%,1 Jul 2021,National estimate,
82,Belgium,"11,765,225",0.1%,1 Jun 2023,Official estimate,
83,Haiti,"11,743,017",0.1%,1 Jul 2020,National annual projection,
84,Jordan,"11,451,900",0.1%,13 Aug 2023,National population clock,
85,Cuba,"11,089,511",0.1%,31 Dec 2022,Official estimate,
86,Czech Republic,"10,827,529",0.1%,1 Jan 2023,Official estimate,
87,Sweden,"10,540,886",0.1%,31 May 2023,Monthly national estimate,
88,Dominican Republic,"10,535,535",0.1%,1 Jul 2021,National annual projection,
89,Greece,"10,482,487",0.1%,23 Nov 2021,2021 census result,
90,Portugal,"10,467,366",0.1%,31 Dec 2022,2022 estimate,
91,Azerbaijan,"10,135,373",0.1%,1 Mar 2023,Monthly national estimate,
92,Tajikistan,"10,077,600",0.1%,1 Jan 2023,Official estimate,
93,Israel,"9,756,300",0.1%,30 Jun 2023,National monthly estimate,
94,Honduras,"9,745,149",0.1%,1 Jul 2023,National annual projection,
95,Hungary,"9,597,085",0.1%,1 Jan 2023,Official estimate,
96,United Arab Emirates,"9,282,410",0.1%,31 Dec 2020,Official estimate,
97,Belarus,"9,200,617",0.1%,1 Jan 2023,Official estimate,
98,Austria,"9,129,652",0.1%,1 Jul 2023,National quarterly estimate,
99,Switzerland,"8,865,270",0.1%,31 Mar 2023,National quarterly estimate,
100,Sierra Leone,"8,494,260",0.1%,1 Jul 2022,National annual projection,
101,Togo,"8,095,498",0.1%,8 Nov 2022,2022 census result,
102,Paraguay,"7,453,695",0.09%,1 Jul 2022,National annual projection,
103,Laos,"7,337,783",0.09%,1 Jul 2021,National annual projection,
–,Hong Kong (China),"7,333,200",0.09%,31 Dec 2022,National estimate,
104,Kyrgyzstan,"7,100,000",0.09%,1 Mar 2023,Monthly national estimate,
105,Libya,"6,931,061",0.09%,1 Jan 2020,Official estimate,
106,El Salvador,"6,884,888",0.09%,1 Jul 2022,National annual projection,
107,Serbia,"6,647,003",0.08%,31 Oct 2022,2022 census result,
108,Nicaragua,"6,595,674",0.08%,30 Jun 2020,Official estimate,
109,Turkmenistan,"6,516,100",0.08%,1 Jul 2023,UN projection,
110,Bulgaria,"6,447,710",0.08%,31 Dec 2022,Official annual estimate,
111,Congo,"6,106,869",0.08%,1 Jul 2023,UN projection,
112,Denmark,"5,944,145",0.07%,1 Jul 2023,National quarterly estimate,
113,Central African Republic,"5,633,412",0.07%,1 Jul 2020,National annual projection,
114,Finland,"5,547,549",0.07%,30 Jun 2023,Monthly national estimate,
115,Norway,"5,504,329",0.07%,31 Mar 2023,National quarterly estimate,
116,Lebanon,"5,490,000",0.07%,1 Jul 2021,Official estimate,
117,Palestine,"5,483,450",0.07%,1 Jan 2023,National annual projection,
118,Singapore,"5,453,600",0.07%,30 Jun 2022,Official estimate,
119,Slovakia,"5,426,857",0.07%,31 Mar 2023,National quarterly estimate,
120,Costa Rica,"5,213,362",0.06%,30 Jun 2022,National annual projection,
121,New Zealand,"5,199,100",0.06%,31 Mar 2023,National quarterly estimate,
122,Ireland,"5,149,139",0.06%,3 Apr 2022,2022 census,
123,Oman,"5,079,514",0.06%,30 Jun 2023,Monthly national estimate,
124,Kuwait,"4,670,713",0.06%,31 Dec 2020,Official estimate,
125,Liberia,"4,661,010",0.06%,1 Jul 2021,National annual projection,
126,Mauritania,"4,372,037",0.05%,1 Jul 2022,National annual projection,
127,Panama,"4,278,500",0.05%,1 Jul 2020,National annual projection,
128,Croatia,"3,888,529",0.05%,31 Aug 2021,2021 census,
129,Eritrea,"3,748,902",0.05%,1 Jul 2023,UN projection,
130,Georgia,"3,736,400",0.05%,1 Jan 2023,Official estimate,
131,Uruguay,"3,566,550",0.04%,30 Jun 2023,National annual projection,
132,Mongolia,"3,457,548",0.04%,31 Dec 2022,National annual projection,
133,Bosnia and Herzegovina,"3,277,082",0.04%,1 Jul 2022,Official estimate,
–,Puerto Rico (US),"3,221,789",0.04%,1 Jul 2022,Annual projection,
134,Qatar,"3,005,069",0.04%,31 Mar 2023,Monthly national estimate,
135,Armenia,"2,981,200",0.04%,1 Jan 2023,National quarterly estimate,
136,Lithuania,"2,866,165",0.04%,1 Aug 2023,Monthly national estimate,
137,Jamaica,"2,825,544",0.04%,1 Jul 2019,National projection,
138,Albania,"2,761,785",0.03%,1 Jan 2023,Official estimate,
139,Namibia,"2,641,857",0.03%,1 Jul 2023,National annual projection,
140,Moldova,"2,604,000",0.03%,1 Jan 2022,Official estimate,
141,Gambia,"2,417,471",0.03%,1 Jul 2022,National projection,
142,Botswana,"2,410,338",0.03%,1 Jul 2021,National annual projection,
143,Lesotho,"2,306,000",0.03%,1 Jul 2023,Official projection,
144,Gabon,"2,233,272",0.03%,1 Jul 2021,National annual projection,
145,Slovenia,"2,117,674",0.03%,1 Apr 2023,National quarterly estimate,
146,Latvia,"1,883,400",0.02%,1 Jun 2023,Monthly national estimate,
147,North Macedonia,"1,832,696",0.02%,1 Nov 2021,2021 census result,
–,Kosovo,"1,798,188",0.02%,31 Dec 2020,Official estimate,
148,Guinea-Bissau,"1,781,308",0.02%,1 Jul 2023,National annual projection,
149,Equatorial Guinea,"1,558,160",0.02%,1 Jul 2022,Official estimate,
150,Bahrain,"1,504,365",0.02%,1 Jul 2021,Official estimate,
151,Estonia,"1,365,884",0.02%,1 Jan 2023,Official estimate,
152,Trinidad and Tobago,"1,365,805",0.02%,30 Jun 2022,Official estimate,
153,East Timor,"1,354,662",0.02%,1 Jul 2023,National annual projection,
154,Mauritius,"1,261,196",0.02%,31 Dec 2022,National estimate,
155,Eswatini,"1,223,362",0.02%,1 Jul 2023,Official projection,
156,Djibouti,"1,001,454",0.01%,1 Jul 2022,National projection,
157,Cyprus,"918,100",0.01%,1 Oct 2021,2021 census result,
158,Fiji,"893,468",0.01%,1 Jul 2021,National annual projection,
159,Bhutan,"763,200",0.009%,30 May 2022,National annual projection,
160,Comoros,"758,316",0.009%,15 Dec 2017,2017 census result,
161,Guyana,"743,699",0.009%,1 Jul 2019,Official estimate,
162,Solomon Islands,"728,041",0.009%,1 Jul 2021,National annual projection,
–,Macau (China),"673,600",0.008%,31 Mar 2023,National quarterly estimate,
163,Luxembourg,"660,809",0.008%,1 Jan 2023,Official estimate,
164,Montenegro,"616,695",0.008%,1 Jan 2023,National annual estimate,
165,Suriname,"616,500",0.008%,1 Jul 2021,Official estimate,
–,Western Sahara,"587,259",0.007%,1 Jul 2023,UN projection,
166,Cape Verde,"569,509",0.007%,1 Jul 2022,National annual projection,
167,Malta,"519,562",0.006%,21 Nov 2021,2021 census result,
168,Belize,"441,471",0.005%,1 Jul 2022,Official estimate,
169,Brunei,"440,715",0.005%,1 Jul 2021,Official estimate,
170,Maldives,"397,372",0.005%,31 Dec 2021,Official estimate,
171,Bahamas,"397,360",0.005%,1 Jul 2022,National annual projection|,
172,Iceland,"394,200",0.005%,1 Jul 2023,National quarterly estimate,
–,Northern Cyprus,"382,836",0.005%,31 Dec 2020,Official estimate,
–,Transnistria,"360,938",0.004%,31 Dec 2022,Official estimate,
173,Vanuatu,"301,295",0.004%,1 Jul 2021,National annual projection,
–,French Polynesia (France),"279,890",0.003%,1 Jul 2021,National annual projection,
–,New Caledonia (France),"273,674",0.003%,1 Jul 2021,National annual projection,
174,Barbados,"267,800",0.003%,31 Dec 2022,Official estimate|,
–,Abkhazia,"245,424",0.003%,1 Jan 2020,Official estimate,
175,São Tomé and Príncipe,"214,610",0.003%,1 Jul 2021,National annual projection,
176,Samoa,"205,557",0.003%,6 Nov 2021,Census 2021,
177,Saint Lucia,"178,696",0.002%,1 Jul 2018,Official estimate,
–,Guam (US),"153,836",0.002%,1 Apr 2020,2020 census result,
–,Curacao (Netherlands),"148,925",0.002%,1 Jan 2023,Official estimate,
–,Artsakh,"148,900",0.002%,1 Oct 2019,Official estimate,
178,Kiribati,"120,740",0.001%,1 Jul 2021,National annual projection,
179,Grenada,"112,579",0.001%,1 Jul 2019,Official estimate,
180,Saint Vincent and the Grenadines,"110,872",0.001%,1 Jul 2022,Official estimate,
–,Jersey (UK),"107,800",0.001%,31 Dec 2019,Official estimate,
–,Aruba (Netherlands),"106,739",0.001%,30 Sep 2022,National quarterly estimate,
181,Micronesia,"105,754",0.001%,1 Jul 2021,National annual projection,
182,Antigua and Barbuda,"100,772",0.001%,1 Jan 2022,National annual estimate,
183,Seychelles,"100,447",0.001%,22 Apr 2022,2022 Census,
184,Tonga,"100,179",0.001%,1 Jan 2022,National annual estimate,
–,US Virgin Islands (US),"87,146",0.001%,1 Apr 2020,2020 census result,
–,Isle of Man (UK),"84,069",0.001%,30 May 2021,2021 census result,
185,Andorra,"83,523",0.001%,30 Jun 2023,Official estimate,
–,Cayman Islands (UK),"71,105",0.0009%,30 Sep 2020,2021 Census,
186,Dominica,"67,408",0.0008%,31 Dec 2017,Official estimate,
–,Guernsey (UK),"64,234",0.0008%,30 Sep 2022,National quarterly estimate,
–,Bermuda (UK),"64,055",0.0008%,1 Jul 2021,National annual projection,
–,Greenland (Denmark),"56,609",0.0007%,1 Jan 2023,National quarterly estimate,
–,South Ossetia,"56,520",0.0007%,31 Dec 2021,Official estimate,
–,Faroe Islands (Denmark),"54,503",0.0007%,1 Jun 2023,Monthly national estimate,
–,American Samoa (US),"49,710",0.0006%,1 Apr 2020,2020 census result,
–,Northern Mariana Islands (US),"47,329",0.0006%,1 Apr 2020,2020 census result,
187,Saint Kitts and Nevis,"47,195",0.0006%,15 May 2011,2011 census result,
–,Turks and Caicos Islands (UK),"46,131",0.0006%,1 Jul 2021,Official estimate,
–,Sint Maarten (Netherlands),"42,938",0.0005%,1 Jan 2023,Official estimate,
188,Liechtenstein,"39,680",0.0005%,31 Dec 2022,National estimate,
189,Marshall Islands,"39,262",0.0005%,1 Jul 2021,2021 Census,
190,Monaco,"39,150",0.0005%,31 Dec 2021,Official estimate,
–,Gibraltar (UK),"34,003",0.0004%,1 Jul 2016,Official figure,
191,San Marino,"33,847",0.0004%,30 Apr 2023,Monthly national estimate,
–,Saint Martin (France),"32,358",0.0004%,1 Jan 2020,Official estimate,
–,British Virgin Islands (UK),"31,538",0.0004%,1 Jul 2023,UN projection,
–,Åland (Finland),"30,533",0.0004%,30 Jun 2023,Monthly national estimate,
192,Palau,"16,733",0.0002%,1 Jul 2021,2021 Census,
–,Anguilla (UK),"15,701",0.0002%,31 Dec 2021,Official estimate,
–,Cook Islands,"15,040",0.0002%,1 Jul 2021,2021 Census,
193,Nauru,"11,832",0.0001%,1 Jul 2021,National annual projection,
–,Wallis and Futuna (France),"11,369",0.0001%,1 Jan 2021,National annual projection,
194,Tuvalu,"10,679",0.0001%,1 Jul 2021,National annual projection,
–,Saint Barthélemy (France),"10,585",0.0001%,1 Jan 2020,Official estimate,
–,Saint Pierre and Miquelon (France),"6,092",0%,1 Jan 2020,Official estimate,
–,"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651",0%,1 Jul 2021,2021 Census,
–,Montserrat (UK),"4,433",0%,1 Jul 2022,Official figure,
–,Falkland Islands (UK),"3,662",0%,10 Oct 2021,2021 census result,
–,Norfolk Island (Australia),"2,188",0%,1 Jan 2021,2021 Census,
–,Christmas Island (Australia),"1,692",0%,1 Jan 2021,2021 Census,
–,Tokelau (NZ),"1,647",0%,1 Jan 2019,2019 Census,
–,Niue,"1,549",0%,1 Jul 2021,National annual projection,
–,Cocos (Keeling) Islands (Australia),593,0%,30 Jun 2020,2021 Census,
195,Vatican City,246,0%,26 Jun 2023,Monthly national estimate,
–,Pitcairn Islands (UK),47,0%,1 Jul 2021,Official estimate,
